affective	j	[[], [2], [], [], []]	['', '', 'affect']
affectively	b	[[], [2], [], [], []]	['', '', 'affect']
affiliate	n	[[3], [], [], [6], []]	['附屬機構、分公司', '', '']
affiliate	v	[[3], [], [], [], []]	['使隸屬於、加入、為...工作', '', '']
affirm	v	[[3], [], [], [6], []]	['申明、斷言', '', '']
afflict	v	[[3], [], [], [], []]	['折磨、使痛苦', '', '']
afford	v	[[2], [], [], [3], []]	['買得起、承擔、提供', '', '']
afraid	j	[[1], [], [], [1], [1]]	['害怕的、擔憂的', '', '']
africa	n	[[], [], [], [7], []]	['', '', '']
after	bcp	[[1], [], [], [1], [1]]	['在...後面；在...以後；以後、後來', '', '']
after	p	[[], [], [28], [], []]	['在…之後', '', '']
aftermath	n	[[3], [], [], [], []]	['後果、餘波', '', '']
afternoon	n	[[1], [], [34], [1], [1]]	['下午', '', '']
afterward	b	[[2], [], [], [3], []]	['後來', '=afterwards (British English)', '']
afterwards	b	[[], [], [], [3], []]	['', '', '']
again	b	[[1], [], [21], [1], [1]]	['又、再一次', '', '']
against	p	[[1], [], [], [2], [2]]	['緊貼著、倚靠著；逆著...的方向、迎著；反對、與...相反；以...為背景、襯托；防...、抗...', '', '']
age	n	[[1], [], [], [], [1]]	['年齡、老化；時代、時期', '', '']
age	nv	[[], [], [], [1], []]	['', '', '']
age	v	[[1], [], [], [], [1]]	['衰老、使變老、使成熟', '', '']
aged	j	[[2], [], [], [], []]	['…歲的、年邁的', '', '']
agency	n	[[2], [], [], [4], []]	['代理機構、政府專門機構', '', '']
agenda	n	[[3], [], [], [5], []]	['議程、待處理事項', '', '']
agent	n	[[2], [], [], [4], []]	['代理商、代理人、經紀人', '', '']
aggravate	v	[[3], [], [], [], []]	['加重、惡化', '', '']
aggregate	jnv	[[3], [], [], [], []]	['總計(的)、合計(的)', '', '']
aggregate	nv	[[], [6], [], [], []]	['', '', 'aggregate']
aggregation	n	[[], [6], [], [], []]	['', '', 'aggregate']
aggression	n	[[3], [], [], [5], []]	['侵略、挑釁', '', '']
aggressive	j	[[2], [], [], [4], []]	['好鬥的、挑臖的；積極進取的', '', '']
aging	jn	[[3], [], [], [], []]	['變老的；老化', '= ageing', '']
agitate	v	[[3], [], [], [], []]	['鼓動、煽動；激怒', '', '']
agitation	n	[[3], [], [], [], []]	['焦慮不安、煩亂；煽動、鼓動', '', '']
ago	b	[[1], [], [], [1], [1]]	['在…以前', '', '']
agony	n	[[3], [], [], [5], []]	['極度痛苦、苦惱', '', '']
agree	v	[[1], [], [], [1], [1]]	['同意、贊成、相符', '', '']
agreeable	j	[[2], [], [], [4], []]	['令人愉悅的、宜人的；欣然同意的、願意接受的', '', '']
agreement	n	[[2], [], [], [1], []]	['協議、意見一致、同意', '', '']
agricultural	j	[[3], [], [], [5], []]	['農業的', '', '']
agriculture	n	[[2], [], [], [3], []]	['農業', '', '']
ahead	b	[[1], [], [], [2], [1]]	['在前面、領先、提早', '', '']
ai	n	[[3], [], [], [], []]	['人工智慧', '= artificial intelligence', '']
aid	nv	[[1], [7], [], [2], []]	['幫助、援助；救援物資、輔助設備', '', 'aid']
