		[0, -1, 2]	['dummy entry: 0 easily confused with undefined', '', '']
arrange	v	[0, -1, 2]	['安排、籌劃；排列、佈置', '', '']
arrangement	n	[1, -1, 2]	['安排、籌備', '', '']
array	n	[2, -1, 2]	['大量、一批', '', '']
array	v	[2, -1, 2]	['配置、布置、排列', '', '']
arrest	vn	[0, -1, 2]	['逮捕', '', '']
arrival	n	[1, -1, 2]	['抵達', '', '']
arrive	v	[0, -1, 2]	['到達、來臨', '', '']
arrogant	j	[2, -1, 2]	['傲慢的、自大的', '', '']
arrow	n	[1, -1, 2]	['弓箭、箭號', '', '']
art	n	[0, -1, 2]	['藝術、美術', '', '']
artery	n	[2, -1, 2]	['動脈、(道路)主幹線', '', '']
article	n	[0, -1, 2]	['文章、報導；物品、物件、(語法)冠詞', '', '']
articulate	jv	[2, -1, 2]	['口齒清楚的、善於表達的；清楚說明、口齒清楚', '', '']
artifact	n	[2, -1, 2]	['手工藝品', '=artefact', '']
artificial	j	[1, -1, 2]	['人工的、人造的', '', '']
artillery	n	[2, -1, 2]	['火炮', '', '']
artist	n	[0, -1, 2]	['藝術家、畫家', '', '']
artistic	j	[1, -1, 2]	['藝術的、有藝術天賦的', '', '']
as	c	[0, -1, 2]	['因為、當...時、以...的方式', '', '']
as	p	[0, -1, 2]	['作為、以...的身分', '', '']
as	b	[0, -1, 2]	['像...一樣、和...一樣', '', '']
ascend	v	[1, -1, 2]	['上升、登高', '', '']
ascertain	v	[2, -1, 2]	['查明、弄清', '', '']
ascribe	v	[2, -1, 2]	['把...歸因於、認為...具有', '', '']
ash	n	[1, -1, 2]	['灰燼', '', '']
ashamed	j	[1, -1, 2]	['感到羞愧的', '', '']
Asia	n	[0, -1, 2]	['亞洲', '', '']
Asian	jn	[0, -1, 2]	['亞洲的、亞洲人的；亞洲人', '', '']
aside	b	[1, -1, 2]	['在旁邊', '', '']
ask	v	[0, -1, 2]	['詢問、請求', '', '']
asleep	j	[0, -1, 2]	['睡著的', '', '']
aspect	n	[1, 39, 3]	['方面、層面', '', 'aspect']
aspiration	n	[2, -1, 2]	['抱負、渴望', '', '']
aspirin	n	[1, -1, 2]	['阿斯匹靈', '', '']
ass	n	[2, -1, 2]	['傻瓜、笨蛋；屁股', '', '']
assassinate	v	[1, -1, 2]	['暗殺', '', '']
assault	nv	[2, -1, 2]	['攻擊、襲擊', '', '']
assemble	v	[1, 47, 3]	['集合、聚集；組裝', '', 'assemble']
assembly	n	[1, 47, 3]	['集會、議會；裝配', '', 'assemble']
assert	v	[2, -1, 2]	['堅稱、維護(權利)', '', '']
assess	v	[2, 38, 3]	['評價、估算', '', 'assess']
assessment	n	[2, 38, 3]	['評價、評定', '', 'assess']
asset	n	[1, -1, 2]	['資產', '', '']
assign	v	[1, 43, 3]	['指派、分配', '', 'assign']
assignment	n	[2, 43, 3]	['(學業或工作上的)任務、分派(任務)', '', 'assign']
assimilate	v	[2, -1, 2]	['消化吸收、理解、融入', '', '']
assist	v	[1, 39, 3]	['協助、援助', '', 'assist']
assistance	n	[1, 39, 3]	['幫忙、援助', '', 'assist']
assistant	nj	[0, 39, 3]	['助手、助理；(常用於頭銜)助理的、副的', '', 'assist']
associate	v	[1, -1, 2]	['聯想、聯繫', '', '']
associate	n	[1, -1, 2]	['同事、合夥人', '', '']
associate	j	[1, -1, 2]	['副的、非正式的', '', '']
association	n	[1, -1, 2]	['協會、社團、聯盟；關聯、聯想', '', '']
assume	v	[0, 38, 3]	['假定為、假設', '', 'assume']
assumption	n	[2, 38, 3]	['假設', '', 'assume']
assurance	n	[1, 46, 3]	['保證、擔保；自信', '', 'assure']
assure	v	[1, 46, 3]	['向...保證、確保', '', 'assure']
assured	j	[2, 46, 3]	['自信的、確定的', '', 'assure']
asthma	n	[2, -1, 2]	['氣喘', '', '']
astonish	v	[1, -1, 2]	['使吃驚', '', '']
astray	bj	[2, -1, 2]	['迷路地、誤入歧途地；迷路的、誤入歧途的', '', '']
astronaut	n	[1, -1, 2]	['太空人', '', '']
astronomer	n	[2, -1, 2]	['天文學家', '', '']
astronomy	n	[2, -1, 2]	['天文學', '', '']
asylum	n	[2, -1, 2]	['庇護、避難', '', '']
at	p	[0, -1, 2]	['在...時刻、在...地點或位置、對著', '', '']
athlete	n	[1, -1, 2]	['運動員、擅長運動的人', '', '']
athletic	j	[1, -1, 2]	['健壯的、擅長運動的、田徑運動的', '', '']
athletics	n	[2, -1, 2]	['體育運動、田徑運動', '', '']
ATM	n	[2, -1, 2]	['自動提款機', '= automatic teller machine', '']
atmosphere	n	[1, -1, 2]	['大氣、大氣層、空氣；氣氛、氛圍', '', '']
atom	n	[1, -1, 2]	['原子', '', '']
atomic	j	[1, -1, 2]	['原子的、原子能的', '', '']
atrocity	n	[2, -1, 2]	['凶惡、殘暴行為', '', '']
attach	v	[1, 43, 3]	['裝上、使依附', '', 'attach']
attached	j	[2, 43, 3]	['依戀的、附屬的', '', 'attach']
attack	nv	[0, -1, 2]	['攻擊、進攻、抨擊', '', '']
attain	v	[2, 46, 3]	['獲得、達到', '', 'attain']
attempt	nv	[1, -1, 2]	['嘗試、企圖', '', '']
attempted	j	[2, -1, 2]	['(犯罪)未遂的', '', '']
attend	v	[0, -1, 2]	['出席、參加', '', '']
attendance	n	[2, -1, 2]	['參加、出席、出席人數', '', '']
attendant	n	[2, -1, 2]	['服務員、侍者', '', '']
attendant	j	[2, -1, 2]	['伴隨的、隨之而來的', '', '']
attention	n	[0, -1, 2]	['注意力、關注', '', '']
attic	n	[2, -1, 2]	['閣樓', '', '']
attitude	n	[1, 41, 3]	['態度', '', 'attitude']
attorney	n	[2, -1, 2]	['律師', '', '']
attract	v	[1, -1, 2]	['吸引', '', '']
attraction	n	[1, -1, 2]	['吸引力；迷戀、愛慕', '', '']
attractive	j	[1, -1, 2]	['誘人的、吸引人的', '', '']
attribute	v	[2, 41, 3]	['歸因於', '', 'attribute']
attribute	n	[2, 41, 3]	['屬性、特徵', '', 'attribute']
auction	nv	[2, -1, 2]	['拍賣', '', '']
audience	n	[0, -1, 2]	['聽眾、觀眾', '', '']
audio	j	[1, -1, 2]	['聲音的、錄音的', '', '']
audit	vn	[2, -1, 2]	['審計、稽核、查帳', '', '']
audit	v	[2, -1, 2]	['旁聽(大學課程)', '', '']
auditorium	n	[2, -1, 2]	['觀眾席；禮堂、劇院、音樂廳', '', '']
August	n	[0, -1, 2]	['八月', '= Aug.', '']
aunt	n	[0, -1, 2]	['姑姑、阿姨、舅媽', '= auntie= aunty', '']
Australia	n	[0, -1, 2]	['澳洲', '', '']
authentic	j	[2, -1, 2]	['真實的、真正的、真跡的、可信的', '', '']
author	n	[1, 43, 3]	['作者', '', 'author']
authoritative	j	[2, 38, 3]	['具權威的、專斷的', '', 'authority']
authority	n	[1, 38, 3]	['權力、職權；官方、當權者', '', 'authority']
authorize	v	[2, -1, 2]	['批准、授權', '= authorise (British English)', '']
auto	n	[2, -1, 2]	['汽車', '', '']
autobiography	n	[1, -1, 2]	['自傳', '', '']
autograph	nv	[2, -1, 2]	['親筆簽名；在...上簽名', '', '']
automatic	j	[1, 45, 3]	['自動的', '', 'automate']
automation	n	[2, 45, 3]	['自動化', '', 'automate']
automobile	n	[1, -1, 2]	['汽車', '= auto', '']
autonomous	j	[2, -1, 2]	['自治的、自主的', '', '']
autonomy	n	[2, -1, 2]	['自治(權)、自主(權)', '', '']
autumn	n	[0, -1, 2]	['秋天', '= fall', '']
auxiliary	n	[1, -1, 2]	['助動詞', '= aux.', '']
auxiliary	nj	[1, -1, 2]	['輔助人員；輔助的', '', '']
avail	vn	[2, -1, 2]	['(對人或物)有幫助；幫助、效益', '', '']
available	j	[0, 38, 3]	['有空的、可獲得的', '', 'available']
avenue	n	[1, -1, 2]	['大街；途徑、管道、方法', '', '']
average	jnv	[1, -1, 2]	['平均的；平均數；平均為', '', '']
avert	v	[2, -1, 2]	['防止、避開', '', '']
aviary	n	[2, -1, 2]	['大鳥籠、鳥舍', '', '']
aviation	n	[2, -1, 2]	['航空、航空製造業、飛行', '', '']
avoid	v	[0, -1, 2]	['避免、避開', '', '']
await	v	[1, -1, 2]	['等待', '', '']
awake	jv	[1, -1, 2]	['醒著；醒來、喚起', '', '']
awaken	v	[1, -1, 2]	['醒來、喚醒', '', '']
award	nv	[1, -1, 2]	['獎、獎金、獎品；獎勵、授予', '', '']
aware	j	[0, 42, 3]	['意識到、發覺、有...意識的', '', 'aware']
away	b	[0, -1, 2]	['去別處、(距此)...遠、逐漸消失', '', '']
awe	nv	[2, -1, 2]	['敬畏、驚嘆', '', '']
awesome	j	[2, -1, 2]	['令人驚嘆的、很棒的', '', '']
awful	j	[1, -1, 2]	['很壞的、糟糕的、令人不愉快的', '', '']
awhile	b	[2, -1, 2]	['一會兒', '', '']
awkward	j	[1, -1, 2]	['令人尷尬的；難對付的；笨拙的', '', '']
ax	v	[1, -1, 2]	['用斧頭劈、砍掉；裁減、撤銷、開除', '= axe (British English)', '']
ax	n	[1, -1, 2]	['斧頭；裁減、解雇', '= axe (British English)', '']
axis	n	[2, -1, 2]	['軸、軸線', '', '']
baby	n	[0, -1, 2]	['嬰兒、幼稚的人、(暱稱)寶貝', '', '']
babysit	v	[0, -1, 2]	['當臨時保姆', '= baby-sit', '']
babysitter	n	[0, -1, 2]	['保姆', '= baby-sitter=baby sitter', '']
bachelor	n	[2, -1, 2]	['單身漢；學士', '', '']
back	nj	[0, -1, 2]	['背部、後面；背部的、後面的', '', '']
back	b	[0, -1, 2]	['回原處、返回、向後、在背面', '', '']
back	v	[0, -1, 2]	['贊助、支持；使倒退、後退', '', '']
backbone	n	[2, -1, 2]	['脊椎、脊骨；支柱、基礎', '', '']
background	n	[1, -1, 2]	['背景', '', '']
backing	n	[2, -1, 2]	['支持、援助、資助', '', '']
backpack	nv	[2, -1, 2]	['背包；背包旅行', '', '']
backward	bj	[0, -1, 2]	['向後地、倒退地；向後的、倒退的、落後的', 'adv.= backwards (British English)', '']
bacon	n	[1, -1, 2]	['培根', '', '']
bacteria	n	[1, -1, 2]	['細菌', 'bacterium (singular form)', '']
bad	j	[0, -1, 2]	['壞的、不好的、劣質的', '', '']
badge	n	[2, -1, 2]	['徽章、名牌', '', '']
badly	b	[0, -1, 2]	['差地、嚴重地；很、非常', '', '']
badminton	n	[0, -1, 2]	['羽毛球', '', '']
baffle	v	[2, -1, 2]	['困惑', '', '']
bag	n	[0, -1, 2]	['袋子、一袋(的量)', '', '']
baggage	n	[1, -1, 2]	['行李', '', '']
baggy	j	[1, -1, 2]	['(衣服)寬鬆的、寬大下垂的', '', '']
bail	nv	[2, -1, 2]	['保釋金；獲得保釋', '', '']
bait	nv	[1, -1, 2]	['魚餌、誘餌；下誘餌', '', '']
bake	v	[0, -1, 2]	['烘烤', '', '']
bakery	n	[0, -1, 2]	['麵包店', '', '']
balance	nv	[1, -1, 2]	['平衡、均衡；保持平衡', '', '']
balcony	n	[0, -1, 2]	['陽台、(劇院的)樓座', '', '']
bald	j	[1, -1, 2]	['禿頭的', '', '']
ball	n	[0, -1, 2]	['球、球狀物', '', '']
ballet	n	[1, -1, 2]	['芭蕾舞、芭蕾舞劇', '', '']
balloon	n	[0, -1, 2]	['氣球', '', '']
ballot	nv	[2, -1, 2]	['不記名投票、選票；進行不記名投票', '', '']
bamboo	n	[1, -1, 2]	['竹子', '', '']
ban	vn	[1, -1, 2]	['禁止；禁令', '', '']
banana	n	[0, -1, 2]	['香蕉', '', '']
band	n	[0, -1, 2]	['樂團、樂隊；帶、細繩；(數目、年齡、價格等的)範圍', '', '']
bandage	nv	[1, -1, 2]	['繃帶；用繃帶包紮', '', '']
Band-Aid	n	[1, -1, 2]	['OK繃', '= band-aid', '']
bandit	n	[2, -1, 2]	['土匪、盜賊', '', '']
bang	nv	[1, -1, 2]	['重擊、巨響；撞擊、使發出巨響', '', '']
bank	n	[0, -1, 2]	['銀行；堤、岸', '', '']
banker	n	[0, -1, 2]	['銀行家、莊家', '', '']
banking	n	[1, -1, 2]	['處理銀行帳戶事宜、銀行業', '', '']
bankrupt	jvn	[1, -1, 2]	['破產的；使破產；破產者', '', '']
bankruptcy	n	[2, -1, 2]	['破產', '', '']
banner	n	[2, -1, 2]	['橫布條、橫幅廣告', '', '']
banquet	n	[2, -1, 2]	['宴會、盛宴', '', '']
bar	n	[0, -1, 2]	['條狀物、條紋、欄杆；酒吧、吧檯', '', '']
bar	nv	[0, -1, 2]	['障礙；阻擋、禁止', '', '']
barbarian	nj	[2, -1, 2]	['野蠻人、無教養的人；野蠻的、野蠻人的', '', '']
barbecue	nv	[0, -1, 2]	['烤肉、烤肉架、烤肉聚會；燒烤', '= Bar-B-Q = BBQ', '']
barber	n	[0, -1, 2]	['理髮師', '', '']
barbershop	n	[1, -1, 2]	['理髮店', '', '']
bare	jv	[1, -1, 2]	['赤裸的、無遮蔽的；使赤裸、使暴露', '', '']
barefoot	jb	[2, -1, 2]	['赤腳的；赤腳地', '', '']
barely	b	[1, -1, 2]	['僅、剛好、幾乎沒有', '', '']
bargain	n	[1, -1, 2]	['特價品；協議、交易', '', '']
bargain	v	[1, -1, 2]	['特價品、協議；討價還價', '', '']
barge	n	[2, -1, 2]	['大型平底船', '', '']
barge	v	[2, -1, 2]	['衝撞、亂闖', '', '']
bark	vn	[0, -1, 2]	['吠叫、咆哮；狗吠聲', '', '']
bark	n	[0, -1, 2]	['樹皮', '', '']
barn	n	[1, -1, 2]	['穀倉', '', '']
barometer	n	[2, -1, 2]	['氣壓計、指標', '', '']
barrack	v	[2, -1, 2]	['起哄、喝倒采', '', '']
barracks	n	[2, -1, 2]	['兵營、營房', '單複數同形', '']
barrel	n	[1, -1, 2]	['大桶', '', '']
barren	j	[2, -1, 2]	['貧瘠的、不毛的；不孕的；不結果實的', '', '']
barricade	nv	[2, -1, 2]	['障礙物、(設)路障；阻擋', '', '']
barrier	n	[1, -1, 2]	['屏障、障礙物、隔閡', '', '']
base	vn	[0, -1, 2]	['以...為據點、將總部設在；基地、基底、基礎', '', '']
base	n	[0, -1, 2]	['(棒球運動中的)壘', '', '']
baseball	n	[0, -1, 2]	['棒球', '', '']
basement	n	[0, -1, 2]	['地下室', '', '']
bash	nv	[2, -1, 2]	['猛攻、痛擊', '', '']
basic	j	[0, -1, 2]	['基本的', '', '']
basically	b	[2, -1, 2]	['基本上', '', '']
basics	n	[2, -1, 2]	['基礎、基本需要、基本設施', '', '']
basin	n	[1, -1, 2]	['盆、水盆；流域；船塢、內灣', '', '']
basis	n	[0, -1, 2]	['基礎、根據', '', '']
basket	n	[0, -1, 2]	['籃子、線上購物籃', '', '']
basketball	n	[0, -1, 2]	['籃球', '', '']
bass	nj	[2, -1, 2]	['低音、男低音、低音吉他；低音的', '', '']
bastard	n	[2, -1, 2]	['討厭鬼、壞蛋', '', '']
bastard	nj	[2, -1, 2]	['私生子；私生的', '', '']
bat	n	[0, -1, 2]	['蝙蝠', '', '']
bat	nv	[0, -1, 2]	['球棒、球拍；用球棒或球拍擊球', '', '']
batch	n	[2, -1, 2]	['一批', '', '']
bath	nv	[0, -1, 2]	['沐浴、洗澡；(給...)洗澡', '動詞=bathe', '']
bathe	v	[0, -1, 2]	['(給...)洗澡、浸泡', '=bath', '']
bathroom	n	[0, -1, 2]	['浴室、廁所', '', '']
battalion	n	[2, -1, 2]	['(軍隊的)營部、隊伍', '', '']
batter	v	[2, -1, 2]	['連續猛擊、毆打', '', '']
batter	n	[2, -1, 2]	['(棒球的)打擊手；麵糊', '', '']
battery	n	[1, -1, 2]	['電池', '', '']
battle	nv	[1, -1, 2]	['戰爭、鬥爭；作戰、奮鬥', '', '']
battlefield	n	[2, -1, 2]	['戰場', '', '']
bay	n	[1, -1, 2]	['灣、海灣', '', '']
bazaar	n	[2, -1, 2]	['(某些東方國家的)市集；義賣', '', '']
BC	b	[1, -1, 2]	['西元前', '= Before Christ', '']
be	v	[0, -1, 2]	['是(助動詞)', '', '']
beach	n	[0, -1, 2]	['海灘、湖濱', '', '']
bead	n	[1, -1, 2]	['(有孔的)珠子', '', '']
beak	n	[1, -1, 2]	['鳥喙', '', '']
beam	n	[1, -1, 2]	['光線、光束', '', '']
beam	v	[1, -1, 2]	['照射、發光；高興地微笑、眉開眼笑', '', '']
bean	n	[0, -1, 2]	['豆子、豆莢，豆科植物', '', '']
bear	n	[0, -1, 2]	['熊', '', '']
bear	v	[0, -1, 2]	['承擔、忍受、負荷；具有；生孩子、結果實', '', '']
beard	n	[0, -1, 2]	['鬍鬚', '', '']
bearing	n	[2, -1, 2]	['關係、影響；舉止、風度', '', '']
beast	n	[1, -1, 2]	['(大型或野生的)動物、野獸；粗暴的人、兇殘的人', '', '']
beat	v	[0, -1, 2]	['打敗、戰勝；敲打、攪打', '', '']
beat	n	[0, -1, 2]	['跳動聲、擊鼓聲；節拍', '', '']
beautiful	j	[0, -1, 2]	['美麗的、極好的', '', '']
beautify	v	[2, -1, 2]	['美化、裝飾', '', '']
beauty	n	[1, -1, 2]	['美麗、美人、美好的事物', '', '']
because	c	[0, -1, 2]	"['因為', ""= 'cos = cos = cuz"", '']"
beckon	v	[2, -1, 2]	['招手示意、舉手招喚', '', '']
become	v	[0, -1, 2]	['成為、變得', '', '']
bed	n	[0, -1, 2]	['床、床位', '', '']
bedroom	n	[0, -1, 2]	['臥室', '', '']
bedtime	n	[1, -1, 2]	['就寢時間', '', '']
bee	n	[0, -1, 2]	['蜜蜂', '', '']
beef	n	[0, -1, 2]	['牛肉', '', '']
beep	nv	[2, -1, 2]	['(電子設備的)嘟嘟聲、嗶嗶聲；發出嘟嘟或嗶嗶聲', '', '']
beer	n	[0, -1, 2]	['啤酒', '', '']
beetle	n	[1, -1, 2]	['甲蟲', '', '']
before	pcb	[0, -1, 2]	['在…之前、先於；在...以前；曾經、在前', '', '']
beforehand	b	[2, -1, 2]	['事先、預先', '', '']
beg	v	[1, -1, 2]	['乞討、請求', '', '']
beggar	n	[1, -1, 2]	['乞丐', '', '']
beggar	v	[1, -1, 2]	['使貧窮、使匱乏', '', '']
begin	v	[0, -1, 2]	['開始、以...起頭', '', '']
beginner	n	[0, -1, 2]	['初學者、新手', '', '']
beginning	n	[0, -1, 2]	['開端、起點', '', '']
behalf	n	[2, 46, 3]	['作為...的代表、代替...', '', 'behalf']
behave	v	[0, -1, 2]	['表現', '', '']
behavior	n	[1, -1, 2]	['行為、舉止', '= behaviour (British English)', '']
behind	pb	[0, -1, 2]	['在…後面；在背後、在原處、落後於', '', '']
being	n	[1, -1, 2]	['生命、生物；存在、生存', '', '']
belief	n	[0, -1, 2]	['相信、信念、信仰', '', '']
believable	j	[1, -1, 2]	['可信的', '', '']
believe	v	[0, -1, 2]	['相信', '', '']
bell	n	[0, -1, 2]	['鈴、鐘', '', '']
belly	n	[1, -1, 2]	['腹部、肚子', '', '']
belong	v	[0, -1, 2]	['屬於、應在...地方', '', '']
belongings	n	[2, -1, 2]	['財務、擁有物、行李', '', '']
beloved	jn	[2, -1, 2]	['深愛的、心愛的；愛人、心上人', '', '']
below	bp	[0, -1, 2]	['在...下面、低於', '', '']
belt	n	[0, -1, 2]	['腰帶', '', '']
bench	n	[0, -1, 2]	['長椅', '', '']
bend	vn	[1, -1, 2]	['使彎曲、彎腰；彎曲處、彎道', '', '']
beneath	p	[1, -1, 2]	['在...下面', '', '']
beneficial	j	[1, 38, 3]	['有利的、有助的', '', 'benefit']
benefit	nv	[1, 38, 3]	['利益、好處；對...有幫助、使受惠', '', 'benefit']
bent	j	[2, -1, 2]	['彎曲的、駝背的', '', '']
bent	n	[2, -1, 2]	['天賦', '', '']
berry	n	[1, -1, 2]	['莓果', '', '']
beside	p	[0, -1, 2]	['在...旁邊', '', '']
besides	pb	[0, -1, 2]	['除…之外；此外、而且', '', '']
besiege	v	[2, -1, 2]	['包圍、圍困', '', '']
best	bj	[0, -1, 2]	['最、最適當地；最好的、最適當的', '', '']
best	n	[0, -1, 2]	['最好的人或事', '', '']
best	v	[0, -1, 2]	['打敗、戰勝', '', '']
bet	nv	[1, -1, 2]	['賭注；打賭、賭博', '', '']
betray	v	[2, -1, 2]	['背叛、出賣、對...不忠誠', '', '']
better	bj	[0, -1, 2]	['更、更好地；更好的、好轉的', '', '']
better	n	[0, -1, 2]	['更好的事物、更好者', '', '']
better	v	[0, -1, 2]	['勝過、超過', '', '']
between	p	[0, -1, 2]	['在…之間', '', '']
beverage	n	[2, -1, 2]	['飲料', '', '']
beware	v	[2, -1, 2]	['小心、提防', '', '']
bewilder	v	[2, -1, 2]	['使困惑', '', '']
beyond	pb	[0, -1, 2]	['遠於、超出；在更遠處', '', '']
bias	nv	[2, 45, 3]	['偏見、偏袒；對...懷有偏見', '', 'bias']
Bible	n	[1, -1, 2]	['聖經', '', '']
bibliography	n	[2, -1, 2]	['參考書目、文獻目錄', '', '']
bicycle	n	[0, -1, 2]	['腳踏車', '= bike', '']
bid	nv	[1, -1, 2]	['出價、投標、努力爭取', '', '']
big	j	[0, -1, 2]	['大的、年齡較大的、重大的', '', '']
bilateral	j	[2, -1, 2]	['雙邊的、雙方的', '', '']
bill	nv	[0, -1, 2]	['鈔票、帳單；開立帳單', '', '']
bill	n	[0, -1, 2]	['議案、法案', '', '']
billion	n	[1, -1, 2]	['十億', '', '']
bin	n	[1, -1, 2]	['垃圾箱、容器、箱子', '', '']
bind	v	[1, -1, 2]	['綑綁、包紮', '', '']
binding	j	[2, -1, 2]	['必須遵守的，有法律約束力的', '', '']
binding	n	[2, -1, 2]	['(書籍的)封皮、鑲邊', '', '']
bingo	n	[1, -1, 2]	['賓果遊戲', '', '']
binoculars	n	[2, -1, 2]	['雙筒望遠鏡', '', '']
biochemistry	n	[2, -1, 2]	['生物化學', '', '']
biography	n	[1, -1, 2]	['自傳', '', '']
biological	j	[2, -1, 2]	['生物的、生物學的、親生的', '', '']
biology	n	[0, -1, 2]	['生物學', '', '']
bird	n	[0, -1, 2]	['鳥', '', '']
birdie	n	[2, -1, 2]	['小鳥', '', '']
birdie	nv	[2, -1, 2]	['(高爾夫球)小鳥擊、比標準桿少一桿入洞', '', '']
birth	n	[1, -1, 2]	['出生、起源', '', '']
birthday	n	[0, -1, 2]	['生日', '', '']
biscuit	n	[1, -1, 2]	['餅乾、小麵包', '', '']
bit	n	[0, -1, 2]	['稍微、小塊、少量、一點點', '', '']
bitch	n	[2, -1, 2]	['母狗；[冒犯]壞女人、潑婦', '', '']
bitch	v	[2, -1, 2]	['說壞話', '', '']
bite	vn	[0, -1, 2]	['咬、叮', '', '']
bitter	j	[0, -1, 2]	['有苦味的、(天氣)嚴寒的、怨恨的、令人不快的', '', '']
bizarre	j	[2, -1, 2]	['怪誕的、異乎尋常的', '', '']
black	jn	[0, -1, 2]	['黑色的；黑色', '', '']
blackboard	n	[0, -1, 2]	['黑板', '', '']
blacksmith	n	[2, -1, 2]	['鐵匠', '', '']
blade	n	[2, -1, 2]	['刀片、刀刃；(機器上旋轉的)槳片、槳葉；(草的)葉片', '', '']
blame	vn	[0, -1, 2]	['責備', '', '']
bland	j	[2, -1, 2]	['清淡的、平淡乏味的', '', '']
blank	jn	[0, -1, 2]	['空白的；空白處、空格', '', '']
blanket	nv	[0, -1, 2]	['毛毯、毯子；以厚層覆蓋', '', '']
blare	vn	[2, -1, 2]	['發出響亮刺耳的聲音；響亮刺耳的聲音', '', '']
blast	nv	[2, -1, 2]	['炸毀、爆破；爆炸', '', '']
blast	nv	[2, -1, 2]	['(突然發出的)響聲；發出巨大聲響', '', '']
