apply	v	0	['申請、請求；應用；適用；塗、敷', '', '']
appoint	v	1	['任命、安排', '', '']
appointment	n	1	['約會、預約；任命；職務', '', '']
appraisal	n	2	['評價、評估', '', '']
appreciable	j	2	['可觀的', '', '']
appreciate	v	0	['欣賞、賞識；感激、感謝', '', '']
appreciation	n	1	['欣賞；感激、感謝', '', '']
apprehension	n	2	['憂慮、恐懼', '', '']
apprentice	nv	2	['學徒；使當學徒', '', '']
approach	n	1	['方式、方法', '', '']
approach	v	1	['接近；接洽；著手處理', '', '']
appropriate	j	1	['合適、恰當的', '', '']
approval	n	1	['贊成、批准', '', '']
approve	v	1	['贊成、批准', '', '']
approximate	jv	2	['大約的；接近', '', '']
april	n	0	['四月', '= Apr.', '']
apron	n	1	['圍裙', '', '']
apt	j	2	['有…傾向的；恰當的、適當的；聰穎的', '', '']
aptitude	n	2	['天資、資質', '', '']
aquarium	n	1	['魚缸、水族館', '', '']
arbitrary	j	2	['武斷的、專制的', '', '']
arc	nv	2	['弧形；作弧形運動', '', '']
arch	nv	1	['拱門；使成弓形', '', '']
archaeology	n	2	['考古學', '= archeology', '']
architect	n	1	['建築師', '', '']
architectural	j	2	['建築學的、建築方面的', '', '']
architecture	n	1	['建築學、建築設計', '', '']
archive	nv	2	['檔案、檔案室；歸檔、存檔', '', '']
arctic	jn	2	['北極的、北極地區的；北極、北極地區', '= arctic', '']
are	v	0	['(主詞為we、you、they的現在式)是', '', '']
area	n	0	['地區、範圍、面積', '', '']
arena	n	2	['圓形運動場、圓形劇場、活動場所', '', '']
argue	v	0	['爭吵、爭論', '', '']
argument	n	1	['爭吵、論點', '', '']
arise	v	1	['發生、由…引起', '', '']
arithmetic	jn	1	['算術；算術的', '', '']
arm	n	0	['手臂、袖子、扶手', '', '']
arm	v	0	['武裝、備戰', '', '']
armchair	n	0	['扶手椅', '', '']
armor	nv	2	['盔甲、裝甲；穿盔甲、提供防禦', '= armour (British English)', '']
arms	n	2	['武器、兵器', '', '']
army	n	0	['軍隊、陸軍；大批、大群', '', '']
around	bp	0	['圍繞、在...附近、大約', '', '']
arouse	v	1	['激起', '', '']
arrange	v	0	['安排、籌劃；排列、佈置', '', '']
arrangement	n	1	['安排、籌備', '', '']
array	n	2	['大量、一批', '', '']
array	v	2	['配置、布置、排列', '', '']
arrest	nv	0	['逮捕', '', '']
arrival	n	1	['抵達', '', '']
arrive	v	0	['到達、來臨', '', '']
arrogant	j	2	['傲慢的、自大的', '', '']
arrow	n	1	['弓箭、箭號', '', '']
art	n	0	['藝術、美術', '', '']
artery	n	2	['動脈、(道路)主幹線', '', '']
article	n	0	['文章、報導；物品、物件、(語法)冠詞', '', '']
articulate	jv	2	['口齒清楚的、善於表達的；清楚說明、口齒清楚', '', '']
artifact	n	2	['手工藝品', '=artefact', '']
artificial	j	1	['人工的、人造的', '', '']
artillery	n	2	['火炮', '', '']
artist	n	0	['藝術家、畫家', '', '']
artistic	j	1	['藝術的、有藝術天賦的', '', '']
as	b	0	['像...一樣、和...一樣', '', '']
as	c	0	['因為、當...時、以...的方式', '', '']
as	p	0	['作為、以...的身分', '', '']
ascend	v	1	['上升、登高', '', '']
ascertain	v	2	['查明、弄清', '', '']
ascribe	v	2	['把...歸因於、認為...具有', '', '']
ash	n	1	['灰燼', '', '']
ashamed	j	1	['感到羞愧的', '', '']
asia	n	0	['亞洲', '', '']
asian	jn	0	['亞洲的、亞洲人的；亞洲人', '', '']
aside	b	1	['在旁邊', '', '']
ask	v	0	['詢問、請求', '', '']
asleep	j	0	['睡著的', '', '']
aspect	n	1	['方面、層面', '', '']
aspiration	n	2	['抱負、渴望', '', '']
aspirin	n	1	['阿斯匹靈', '', '']
ass	n	2	['傻瓜、笨蛋；屁股', '', '']
assassinate	v	1	['暗殺', '', '']
assault	nv	2	['攻擊、襲擊', '', '']
assemble	v	1	['集合、聚集；組裝', '', '']
assembly	n	1	['集會、議會；裝配', '', '']
assert	v	2	['堅稱、維護(權利)', '', '']
assess	v	2	['評價、估算', '', '']
assessment	n	2	['評價、評定', '', '']
asset	n	1	['資產', '', '']
assign	v	1	['指派、分配', '', '']
assignment	n	2	['(學業或工作上的)任務、分派(任務)', '', '']
assimilate	v	2	['消化吸收、理解、融入', '', '']
assist	v	1	['協助、援助', '', '']
assistance	n	1	['幫忙、援助', '', '']
assistant	jn	0	['助手、助理；(常用於頭銜)助理的、副的', '', '']
associate	j	1	['副的、非正式的', '', '']
associate	n	1	['同事、合夥人', '', '']
associate	v	1	['聯想、聯繫', '', '']
association	n	1	['協會、社團、聯盟；關聯、聯想', '', '']
assume	v	0	['假定為、假設', '', '']
assumption	n	2	['假設', '', '']
assurance	n	1	['保證、擔保；自信', '', '']
assure	v	1	['向...保證、確保', '', '']
assured	j	2	['自信的、確定的', '', '']
asthma	n	2	['氣喘', '', '']
astonish	v	1	['使吃驚', '', '']
astray	bj	2	['迷路地、誤入歧途地；迷路的、誤入歧途的', '', '']
astronaut	n	1	['太空人', '', '']
astronomer	n	2	['天文學家', '', '']
astronomy	n	2	['天文學', '', '']
asylum	n	2	['庇護、避難', '', '']
at	p	0	['在...時刻、在...地點或位置、對著', '', '']
athlete	n	1	['運動員、擅長運動的人', '', '']
athletic	j	1	['健壯的、擅長運動的、田徑運動的', '', '']
athletics	n	2	['體育運動、田徑運動', '', '']
atm	n	2	['自動提款機', '= automatic teller machine', '']
atmosphere	n	1	['大氣、大氣層、空氣；氣氛、氛圍', '', '']
atom	n	1	['原子', '', '']
atomic	j	1	['原子的、原子能的', '', '']
atrocity	n	2	['凶惡、殘暴行為', '', '']
attach	v	1	['裝上、使依附', '', '']
attached	j	2	['依戀的、附屬的', '', '']
attack	nv	0	['攻擊、進攻、抨擊', '', '']
attain	v	2	['獲得、達到', '', '']
attempt	nv	1	['嘗試、企圖', '', '']
attempted	j	2	['(犯罪)未遂的', '', '']
attend	v	0	['出席、參加', '', '']
attendance	n	2	['參加、出席、出席人數', '', '']
attendant	j	2	['伴隨的、隨之而來的', '', '']
attendant	n	2	['服務員、侍者', '', '']
attention	n	0	['注意力、關注', '', '']
attic	n	2	['閣樓', '', '']
attitude	n	1	['態度', '', '']
attorney	n	2	['律師', '', '']
attract	v	1	['吸引', '', '']
attraction	n	1	['吸引力；迷戀、愛慕', '', '']
attractive	j	1	['誘人的、吸引人的', '', '']
attribute	n	2	['屬性、特徵', '', '']
attribute	v	2	['歸因於', '', '']
auction	nv	2	['拍賣', '', '']
audience	n	0	['聽眾、觀眾', '', '']
audio	j	1	['聲音的、錄音的', '', '']
audit	nv	2	['審計、稽核、查帳', '', '']
audit	v	2	['旁聽(大學課程)', '', '']
auditorium	n	2	['觀眾席；禮堂、劇院、音樂廳', '', '']
august	n	0	['八月', '= Aug.', '']
aunt	n	0	['姑姑、阿姨、舅媽', '= auntie= aunty', '']
australia	n	0	['澳洲', '', '']
authentic	j	2	['真實的、真正的、真跡的、可信的', '', '']
author	n	1	['作者', '', '']
authoritative	j	2	['具權威的、專斷的', '', '']
authority	n	1	['權力、職權；官方、當權者', '', '']
authorize	v	2	['批准、授權', '= authorise (British English)', '']
auto	n	2	['汽車', '', '']
autobiography	n	1	['自傳', '', '']
autograph	nv	2	['親筆簽名；在...上簽名', '', '']
automatic	j	1	['自動的', '', '']
automation	n	2	['自動化', '', '']
automobile	n	1	['汽車', '= auto', '']
autonomous	j	2	['自治的、自主的', '', '']
autonomy	n	2	['自治(權)、自主(權)', '', '']
autumn	n	0	['秋天', '= fall', '']
auxiliary	jn	1	['輔助人員；輔助的', '', '']
auxiliary	n	1	['助動詞', '= aux.', '']
avail	nv	2	['(對人或物)有幫助；幫助、效益', '', '']
available	j	0	['有空的、可獲得的', '', '']
avenue	n	1	['大街；途徑、管道、方法', '', '']
average	jnv	1	['平均的；平均數；平均為', '', '']
avert	v	2	['防止、避開', '', '']
aviary	n	2	['大鳥籠、鳥舍', '', '']
aviation	n	2	['航空、航空製造業、飛行', '', '']
avoid	v	0	['避免、避開', '', '']
await	v	1	['等待', '', '']
awake	jv	1	['醒著；醒來、喚起', '', '']
awaken	v	1	['醒來、喚醒', '', '']
award	nv	1	['獎、獎金、獎品；獎勵、授予', '', '']
aware	j	0	['意識到、發覺、有...意識的', '', '']
away	b	0	['去別處、(距此)...遠、逐漸消失', '', '']
awe	nv	2	['敬畏、驚嘆', '', '']
awesome	j	2	['令人驚嘆的、很棒的', '', '']
awful	j	1	['很壞的、糟糕的、令人不愉快的', '', '']
awhile	b	2	['一會兒', '', '']
awkward	j	1	['令人尷尬的；難對付的；笨拙的', '', '']
ax	n	1	['斧頭；裁減、解雇', '= axe (British English)', '']
ax	v	1	['用斧頭劈、砍掉；裁減、撤銷、開除', '= axe (British English)', '']
axis	n	2	['軸、軸線', '', '']
baby	n	0	['嬰兒、幼稚的人、(暱稱)寶貝', '', '']
babysit	v	0	['當臨時保姆', '= baby-sit', '']
babysitter	n	0	['保姆', '= baby-sitter=baby sitter', '']
bachelor	n	2	['單身漢；學士', '', '']
back	b	0	['回原處、返回、向後、在背面', '', '']
back	jn	0	['背部、後面；背部的、後面的', '', '']
back	v	0	['贊助、支持；使倒退、後退', '', '']
backbone	n	2	['脊椎、脊骨；支柱、基礎', '', '']
background	n	1	['背景', '', '']
backing	n	2	['支持、援助、資助', '', '']
backpack	nv	2	['背包；背包旅行', '', '']
backward	bj	0	['向後地、倒退地；向後的、倒退的、落後的', 'adv.= backwards (British English)', '']
bacon	n	1	['培根', '', '']
bacteria	n	1	['細菌', 'bacterium (singular form)', '']
bad	j	0	['壞的、不好的、劣質的', '', '']
badge	n	2	['徽章、名牌', '', '']
badly	b	0	['差地、嚴重地；很、非常', '', '']
badminton	n	0	['羽毛球', '', '']
baffle	v	2	['困惑', '', '']
bag	n	0	['袋子、一袋(的量)', '', '']
