字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
stability	noun	穩定(性)		中高級			L5
stabilize	verb	穩定、穩固		中高級			L6
stable	adj.	穩定的、牢固的		中級	L5		L3
stable	noun	馬廄		中級	L5
stack	noun/verb	一疊、大量；堆疊		中高級			L5
stadium	noun	體育場		中級			L3
staff	noun/verb	全體員工；成為員工、(為機構)提供人員		中級			L3
stage	noun	舞台		初級			L2
stagger	verb/noun	踉蹌、使動搖、使震驚；蹣跚		中高級			L6
stain	noun/verb	汙漬；給…染色		中高級			L5
stainless	adj.	無汙點的、不生鏽的		中高級
staircase	noun	樓梯		中級
stair	noun	樓梯		初級		1200	L1
stake	noun/verb	樁、股份、風險；打賭		中級			L5
stale	adj./verb	不新鮮的、陳腐的；變不新鮮		中高級			L3
stalk	noun	葉柄、花梗、莖		中高級
stalk	verb	跟蹤、潛近		中高級
stall	noun	貨攤、馬廄、牛棚		中高級			L5
stall	verb	熄火、拋錨、拖延時間		中高級			L5
stammer	verb/noun	口吃、結巴		中高級
stamp	noun/verb	郵票、戳章；貼郵票、踩		初級		1200	L2
stance	noun	立場、站姿		中高級			L5
stand	verb/noun	站立、忍受；站立		初級		1200	L1
standard	noun/adj.	標準；標準的		初級			L2
standpoint	noun	立場、觀點		中高級
stand-up	adj./noun	直立的；(喜劇)單口表演		中高級
stanza	noun	(詩的)節、段		中高級
staple	noun/verb	釘書針；用釘書針裝釘		中高級			L6
staple	adj.	基本的、主要的		中高級
stapler	noun	釘書機		中高級
star	noun/verb	星星、明星；主演、擔任主角		初級		1200	L1
starch	noun/verb	澱粉；(衣服)上漿		中高級
stare	verb/noun	盯著看；凝視		中級			L3
stark	adj./adv.	嚴酷的、鮮明的、赤裸的；完全地		中高級
start	verb/noun	開始；開始、開端		初級		1200	L1
starter	noun	開胃菜、起跑者、起步階段		中高級
startle	verb	使驚嚇		中高級			L5
starvation	noun	飢餓、餓死		中級			L6
starve	verb	捱餓、餓死		中級			L3
state	noun	州、國家；狀態		中級		800	L2
state 	adj.	國家的、州的		中級		800	L2
state 	verb	陳述、說明、宣布		中級		800	L2
statement	noun	說法、聲明		中級			L2
statesman	noun	政治家		中高級			L6
stateswoman	noun	女政治家		中高級
static	noun	靜電、靜力學		中高級
static	adj.	靜止的、靜力的		中高級
station	noun	車站、(提供服務或進行某工作的)站、電視台		初級		1200	L1
station	verb	駐紮、部署、配置		中高級
stationary	adj.	靜止的、穩定的		中高級			L6
stationery	noun	文具		初級		800	L6
statistic	noun	統計數字、統計資料		中高級	L4		L4
statistical	adj.	統計分析的		中高級	L4		L5
statistician	noun	統計學家		中高級
statistics	noun	統計資料、統計學		中高級			L4
statue	noun	雕像		中級			L3
stature	noun	聲望、身高		中高級			L6
status	noun	地位、狀況		中級	L4		L4
statutory	adj.	法定的		中高級
stay	verb/noun	停留；停留時間		初級		1200	L1
steady	adj./verb	穩固的、不變的；使穩固、穩定		中級			L3
steak	noun	牛排		初級		1200	L2
steal	verb	偷		初級		800	L3
steam	noun/verb	蒸汽；蒸(食物)		初級		800	L3
steamer	noun	汽船、蒸鍋		中高級
steel	noun/adj.	鋼、鋼鐵業；鋼的、鋼鐵業的		中級			L2
steel	verb	鋼化、給...包上鋼；使堅強、下決心應付		中級			L2
steep	verb	浸泡		中高級
steep	adj.	陡峭的		中級			L3
steer	verb/noun	駕駛、引導		中級			L5
stem	verb	起源於		中級			L4
stem	noun	莖、梗、樹幹、(工具的)柄		中級			L4
step	noun/verb	步伐；踏		初級		800	L2
stepchild	noun	繼子、繼女		中高級			L6
stepfather	noun	繼父		中級			L6
stepmother	noun	繼母		中級			L6
stereo	adj./noun	立體聲的、立體音響的；立體聲、立體音響		中級			L4
stereotype	noun/verb	刻版印象；使…成為定型		中高級			L5
sterling	noun	英鎊		中高級
sterling	adj.	優秀的		中高級
stern	noun	船尾		中高級
stern	adj.	嚴厲的、嚴峻的		中高級
stew	verb/noun	燉、思考、擔憂；燉菜		中高級			L5
steward	noun	(飛機輪船等)服務員、統籌人	= stewardess = attendant	中高級
stick	verb	插入、黏貼		初級			L2
stick 	noun	枝條、木棍、拐杖		初級			L2
sticky	adj.	黏的		中級			L3
stiff	adj./adv.	硬的、僵硬的；硬地、僵硬地		中級			L3
still	adj.	靜止的、不動的		中級			L1
still	noun	(電影)劇照；(釀酒用的)蒸餾器		中高級
still 	adv.	仍然、更加		初級		1200	L1
stimulate	verb	刺激、激發		中級			L5
stimulating	adj.	有啟發性的、能激發靈感的		中高級
stimulation	noun	刺激、促進		中高級			L6
stimulus	noun	刺激、刺激物		中高級			L5
sting	verb/noun	螫、刺；刺傷		中級			L3
stingy	adj.	吝嗇的		初級		800	L4
stink	verb/noun	發出異味、令人厭惡；惡臭		中高級			L5
stir	verb/noun	攪動、攪拌、激起、喚醒		中級			L3
stitch	noun/verb	縫、縫線；縫補		中級			L3
stock	verb	貯存、庫存		中級			L5
stock	noun	貯存、存貨；股票		中級			L5
stock	adj.	庫存的、現有的；陳腐的、平凡的		中級			L5
stocking	noun	長襪		中級			L4
stomach	noun	胃	= tummy	初級		1200	L3
stomachache	noun	腹痛		初級		800	L2
stone	noun	石頭		初級		800	L2
stool	noun	凳子		中級			L3
stoop	verb/noun	俯身、彎腰；駝背		中高級
stop	verb/noun	停止、阻止；短暫停留、(尤指公車)站		初級		1200	L1
storage	noun	儲藏(空間)、保管		中高級			L5
store 	noun	商店		初級		1200	L1
store 	verb	貯藏		初級		1200	L1
storey	noun	樓層	= story (American English)	中級
storm	noun	暴風雨		初級		800	L2
stormy	adj.	暴風雨的		初級		800	L3
story 	noun	故事；樓層	樓層= floor	初級		1200	L1
storyteller	noun	說故事者		中級
stout	adj.	粗壯結實的、勇敢的、頑強的		中高級
stove	noun	爐子		初級		800	L3
straight	adv./adj.	直地、筆直地；直的、筆直的		初級		1200	L1
straighten	verb	使變直、挺直		中高級			L5
straightforward	adj.	簡單易懂的、坦誠的		中高級	L10		L5
strain	noun/verb	壓力、拉傷、品種；拉傷、盡力		中高級			L5
strained	adj.	緊張的、不自然的		中高級
strait	noun	海峽、(經濟)困境		中高級			L6
strange	adj.	奇妙的、陌生的		初級		1200	L1
stranger	noun	陌生人		初級		1200	L2
strangle	verb	勒死、壓制		中高級			L6
strap	noun/verb	帶子；用帶子繫好		中高級			L5
strategic	adj.	戰略性的		中高級	L2		L5
strategy	noun	策略、戰略		中級	L2		L3
straw	noun	稻草、吸管		初級		800	L3
strawberry	noun	草莓		初級		1200	L2
stray	verb/adj./noun	迷路、離題；走失的；走失的家畜		中高級			L6
streak	noun	條紋；(負面)性格		中高級
streak	verb	使佈滿條紋；飛奔		中高級
stream	noun	溪		初級		800	L2
street	noun	街		初級		1200	L1
strength	noun	體力、力氣		中級			L3
strengthen	verb	增強、鞏固		中級			L4
stress	verb	強調、著重		初級	L4		L2
stress	noun	壓力		初級	L4		L2
stretch	verb/noun	拉長、伸展；一段		中級			L2
strict	adj.	嚴格的		中級			L2
stride	verb/noun	大步走；大步、進步		中高級			L6
strike 	verb/noun	打、擊、罷工；打擊、罷工		初級		800	L2
striker	noun	罷工者、(足球)前鋒		中高級
striking	adj.	醒目的、顯著的、標致的		中高級			L5
string	noun/verb	細繩、線；懸掛、串在一起		中級		1200	L1
strip	noun	條、帶		中級			L3
strip	verb	剝去、脫光衣服		中級			L3
stripe	noun	條紋、線條		中高級			L4
strive	verb	努力、奮鬥		中級			L4
stroke	noun/verb	中風、游泳姿勢；輕撫		中級			L4
stroll	verb/noun	散步、閒逛		中高級			L6
strong	adj.	強勁的		初級		1200	L1
structural	adj.	結構上的		中高級			L5
structure	noun/verb	結構、建築物；構成、組織		中級	L1		L3
struggle	noun/verb	努力；努力、掙扎		初級			L2
stubborn	adj.	固執的		中級			L3
stuck	adj.	卡住、困於		中高級
student	noun	學生		初級		1200	L1
studio	noun	錄音室、電影公司、工作室		中級			L3
study	noun/verb	研究、調查；學習、研讀		初級		1200	L1
stuff	noun	物品、東西、材料		中級			L3
stuff	verb	裝、填、塞、把...裝滿、塞進		中級			L3
stumble	noun	絆倒、失足；錯誤		中高級			L5
stumble	verb	摔倒；犯錯；結巴地說；偶然遇到		中高級			L5
stump	noun	(樹倒或被砍後遺留下的)殘幹、殘肢、(鉛筆)頭、(菸)蒂		中高級
stump	verb	砍去...的樹幹；笨重地行走；遊說		中高級
stun	verb	使昏迷、使震驚		中高級			L6
stunning	adj.	極有魅力的、令人印象深刻的		中高級
stunt	noun	特技表演、噱頭		中高級
stunt	verb	阻礙發展、遏制		中高級
stupid	adj.	愚笨的		初級		1200	L1
sturdy	adj.	堅固的、強壯的、堅決的		中高級			L5
stutter	verb/noun	口吃、結巴		中高級			L6
style	noun	風格		初級	L5	800	L2
stylish	adj.	時髦的、高雅的		中高級			L6
stylistic	adj.	風格上的、文體上的		中高級
sub	noun	替補隊員、代理人、會費		中高級
sub	verb	臨時代替他人做...		中高級
subject	adj./verb	易受...的、隸屬的、取決於；使順從、使遭受		中級
subject 	noun	主題、科目、主詞 		初級		1200	L1
subjective	adj.	主觀的、主語的		中高級			L6
submarine	noun/adj.	潛水艇；海底的		中級			L4
submerge	verb	潛入水中、淹沒、掩蓋(情感)		中高級
submersion	noun	潛入水中、淹沒		中高級
submit	verb	提交、屈服		中高級	L7		L5
subordinate	noun/adj./verb	部屬；從屬的；置於次要地位		中高級	L9		L6
subscribe	verb	定期訂閱、訂購、申請		中高級			L6
subscription	noun	訂閱(報刊)、捐款		中高級			L6
subsequent	adj.	隨後的、後來的		中高級	L4		L5
subsidiary	noun/adj.	子公司；輔助的		中高級	L6
subsidize	verb	補助、發津貼		中高級			L6
subsidy	noun	補貼、補助金		中高級	L6		L5
substance	noun	物質、本質		中級			L3
substantial	adj.	大量的、重大的、堅固的		中高級			L5
substantially	adv.	非常、大體上		中高級
substitute	noun/verb	代替的人(物)；代替		中級	L5		L5
substitution	noun	代理、代用、候補者		中高級
subtle	adj.	不易察覺的、巧妙的		中高級			L5
subtlety	noun	巧妙、微妙之處		中高級
subtract	verb	減去		中級			L3
suburb	noun	郊區		中級			L3
suburban	adj.	郊區的、呆板的		中高級			L5
subway	noun	地下鐵	= underground, tube (British English), MRT, metro	初級		800	L2
succeed	verb	成功		初級		800	L2
success	noun	成功		初級		800	L2
successful	adj.	成功的		初級		1200	L1
succession	noun	連續、繼承		中高級	L7		L6
successive	adj.	連續的、相繼的		中高級			L6
successor	noun	繼任者、接替的事物		中高級	L7		L5
such	adj./pron.	如此的；這樣的人(或事物)		初級		800	L2
suck	verb	吸吮		中級			L3
sudden	adj./noun	突然的；突然發生的事		初級		800	L2
sue	verb	控告、提起告訴		中高級			L4
suffer	verb	遭受、受苦		中級			L3
suffering	noun	痛苦、磨難		中級
sufficient	adj.	充足的、足夠的		中級	L3		L3
suffocate	verb	窒息、悶死		中高級			L6
sugar	noun	糖		初級		1200	L1
suggest	verb	建議		初級		800	L2
suggestion	noun	建議		中級			L4
suicide	noun	自殺		中級			L3
suit 	noun	西裝		初級		800	L2
suit 	verb	適合、相配		初級		800	L2
suitable	adj.	適宜的		中級			L2
suitcase	noun	手提箱		中級			L6
suite	noun	套房、一套傢具、組曲		中高級			L5
sulfur	noun	硫磺	= sulphur (British English)	中高級
sum	noun/verb	總和；共計、總結		中級	L4		L3
summarize	verb	摘要		中級			L4
summary	noun	概要、總結		中級	L4		L3
summer	noun	夏天		初級		1200
summit	noun	山峰、頂峰		中級			L3
summon	verb	傳喚出庭、召喚		中高級			L6
sun	noun	太陽		初級		1200	L1
sunbathe	verb	日光浴		中級
Sunday	noun	星期天	= Sun.	初級		1200
sunlight	noun	日光		中級
sunny	adj.	陽光普照的		初級		1200	L1
sunrise	noun	日出		中級
sunset	noun	日落		中級
sunshine	noun	陽光、歡樂		中高級
super	adj./adv.	極好的；非常地、尤其地		初級		800	L2
superb	adj.	極佳的		中級			L5
superficial	adj.	膚淺的、表面的		中高級			L6
superintendent	noun	監管人、大樓管理員		中高級			L6
superior	adj./noun	較高的、較優秀的；上級		中級			L3
superiority	noun	優越性、優勢		中高級			L6
supermarket	noun	超級市場		初級		1200	L1
superpower	noun	超級大國		中高級
supersonic	adj.	超音速的		中高級
superstition	noun	迷信、迷信觀念		中高級			L5
superstitious	adj.	迷信的、有迷信觀念的		中高級			L6
supervise	verb	監督、管理		中高級			L5
supervision	noun	監督、管理		中高級			L5
supervisor	noun	主管人、指導者		中級			L5
supper	noun	晚餐	= dinner	初級		800	L2
supplement	verb/noun	補充、添加；添加物		中高級	L9		L6
supplementary	adj.	補充的		中高級	L9
supplier	noun	供貨商、供應者		中高級
supply	noun/verb	供應品；供應、供給		初級			L2
support	noun/verb	支持；支持、支援		初級		800	L2
supporter	noun	支持者		中級
supportive	adj.	支持的、鼓勵的		中高級
suppose	verb	認為、應當		中級			L2
suppress	verb	鎮壓、抑制		中高級			L6
supreme	adj.	最高的、最大的		中級			L5
sure	adj.	確定的		初級		1200	L1
sure	adv.	當然		初級		1200	L1
surely	adv.	一定、想必		中級
surf	noun/verb	浪花；衝浪		初級		1200	L2
surface	noun	表面		初級			L2
surge	noun	大浪、波濤；(海浪的)洶湧、奔騰		中高級			L6
surge	verb	(數量)激增、(人群)蜂擁而入；(海浪)洶湧、奔騰		中高級			L6
surgeon	noun	外科醫生		中級			L4
surgery	noun	外科手術		中級			L4
surgical	adj.	外科的、外科手術的		中高級			L6
surpass	verb	超過、勝過		中高級			L6
surplus	noun/adj.	盈餘；剩餘的		中高級			L5
surprise	noun/verb	驚喜；使驚訝		初級		1200	L1
surrender	verb/noun	投降、放棄		中級			L4
surround	verb/noun	圍繞、圍住		中級			L3
surroundings	noun	周圍事物、環境		中級			L4
surveillance	noun	監視、看守、監督		中高級			L5
survey	noun/verb	(民意)調查；查看、審視		中級	L2		L3
survival	noun	生存、存活		中級	L7		L2
survive	verb	存活		初級	L7	800	L2
survivor	noun 	倖存者、生還者		中級			L3
susceptible	adj.	敏感的、容許…的		中高級
suspect	verb/noun/adj.	懷疑；嫌疑犯；可疑的		中級			L3
suspend	verb	懸掛、中止、暫時取消		中級	L9		L5
suspense	noun	不確定的狀態、懸疑		中高級			L6
suspension	noun	暫停、停學(職)		中級			L6
suspicion	noun	懷疑		中級			L3
suspicious	adj.	(令人)懷疑的		中級			L4
sustain	verb	維持、遭受		中高級	L5		L5
sustainable	adj.	可持續的；能長期保持的		中高級			L5
swallow	verb/noun	吞嚥、吞沒；一口的量		中級		800	L2
swallow 	noun	燕子		初級		800	L2
swamp	noun	淹沒、應接不暇		中高級			L6
swamp	verb	沼澤		中高級			L6
swan	noun	天鵝		初級		800	L3
swap	verb/noun	交換；交換物		中高級			L5
swarm	noun	(昆蟲等的)群、蜂群、一大批		中高級			L6
swarm	verb	蜂擁、成群結隊地移動		中高級			L6
sway	verb/noun	使搖擺、動搖、說服；搖擺、支配		中高級			L4
swear	verb	發誓、罵髒話		中級			L3
sweat	noun/verb	汗；流汗		中級			L3
sweater	noun	毛衣		初級		1200	L2
sweep	verb	掃		初級		800	L2
sweet	adj./noun	甜(蜜)的；甜食	noun = candy	初級		1200	L1
swell	verb/noun	腫脹、增大、隆起；腫脹、增大、隆起處		中級			L3
swift	adj.	迅速的、敏捷的		中級			L3
swim	verb	游泳		初級		1200	L2
swimsuit	noun	泳衣		初級		800	L2
swing	verb/noun	擺動、搖晃；鞦韆		初級		1200	L2
switch	verb/noun	改變、交換；開關、改變		中級			L2
swollen	adj.	膨脹的、腫大的		中高級
sword	noun	劍		中級			L3
syllable	noun	音節		中級			L4
syllabus	noun	教學大綱		中高級
symbol	noun	標誌、符號		初級	L5	800	L2
symbolic	adj.	象徵性的、作為象徵的	= symbolical	中高級	L5		L5
symbolism	noun	象徵主義、象徵手法		中高級
symbolize	verb	象徵、代表		中級			L6
symmetrical	adj.	對稱的		中高級
symmetry	noun	對稱、相等		中高級			L6
sympathetic	adj.	有同情心的、支持的		中級			L4
sympathize	verb	同情、支持		中級			L6
sympathy	noun	同情心、支持		中級			L4
symphony	noun	交響樂		中級			L6
symposium	noun	研討會、座談會		中高級
symptom	noun	症狀		中級			L5
syndicate	noun/verb	財團；組成企業聯盟		中高級
syndrome	noun	綜合症狀、典型表現		中高級			L5
synonym	noun	同義詞		中高級			L6
synonymous	adj.	同義的、等同於的		中高級
syntactic	adj.	句法上的		中高級
syntax	noun	句法、語構		中高級
synthesis	noun	綜合、合成		中高級
synthetic	adj./noun	人造的、合成的；合成物、合成纖維		中高級			L6
syrup	noun	糖漿		中級			L6
system	noun	系統		初級		800	L2
systematic	adj.	有系統的		中級			L4
table	noun	桌子		初級		1200	L1
table tennis	noun	乒乓球運動	= ping-pong	初級		800
tablecloth	noun	桌巾		中級
tablespoon	noun	餐匙		中高級
tablet	noun	藥片		中級			L3
tableware	noun	餐具		中高級
tabloid	noun	通俗小報、平板電腦		中高級
taboo	noun	禁忌、避諱		中高級
tack	noun/verb	圖釘；(用釘)釘住		中級
tackle	verb	著手對付(或處理)、與...交涉；(美式足球中)擒抱阻截		中高級			L5
tackle	noun	(美式足球中的)擒抱阻截		中高級
taco	noun	墨西哥煎玉米粉捲		中高級
tact	noun	老練、圓通、機智		中高級
tactic	noun	策略、手段		中高級			L5
tactical	adj.	策略上的、戰術上的		中高級
tactics	noun	戰術、兵法		中高級			L5
tag	noun/verb	標籤；加標籤、附加		中級			L3
Taichung	noun	台中		初級
tail	noun	尾巴		初級		1200	L1
tailor	noun/verb	裁縫師；專門訂做		中級			L3
tailor-made	adj.	特製的、訂做的		中高級
Tainan	noun	台南		初級
Taiwan	noun	臺灣		初級		1200
Taiwanese	adj./noun	臺灣(人)的；臺灣人		初級
take	verb	搭、帶、做		初級		1200	L1
takeaway	noun	外賣餐館	 = carryout, takeout	中高級
takeover	noun	收購、接管		中高級
tale	noun	故事		中級			L2
talent	noun	才能、天份		初級		800	L3
talk	verb/noun	談話；交談		初級		1200	L1
talkative	adj.	健談的		初級		800	L3
tall	adj.	高的		初級		1200	L1
tally	noun/verb	記錄；吻合、相符		中高級
tame	adj./verb	馴服的；馴服		中級			L3
tan	noun/verb	棕褐色、皮膚經日曬而成的褐色；曬黑		中高級			L6
tangerine	noun	橘子		初級		800	L3
tangle	noun/verb	糾結；纏結成一團		中高級			L5
tango	noun	(跳)探戈舞		中高級
tank	noun	箱、槽、櫃、(盛放液體或氣體的)容器		初級		800	L3
tanker	noun	油罐車、油槽車		中高級
tap	verb	輕拍、輕敲		中級			L3
tap	noun	輕叩；(水)龍頭		中級			L3
tape	noun/verb	膠帶、磁帶、錄音帶；用膠帶固定、錄音		初級	L6	1200	L1
tar	noun/verb	瀝青、尼古丁；用柏油鋪		中高級
tardy	adj.	遲緩的、遲到的		中高級
target	noun/verb	目標；當作目標		初級	L5		L2
tariff	noun	關稅、價目表		中高級
tart	noun	水果餡餅		中高級
task	noun	任務		初級	L3		L2
taste	noun/verb	味道、品味；嚐		初級		1200	L1
tasteful	adj.	有審美眼光的、高雅的		中高級
tasteless	adj.	無味的、粗俗的		中高級
tasty	adj.	可口的		中級			L3
tattoo	noun	刺青		中高級
taunt	noun/verb	嘲笑的言詞；嘲笑、奚落		中高級
tavern	noun	酒館、小旅店、客棧		中高級
tax	noun/verb	稅；課稅		中級			L2
taxation	noun	稅金、稅制、課稅		中高級
tax-free	adj.	免稅的		中高級
taxi	noun	計程車	= taxicab, cab	初級		1200	L1
taxpayer	noun	納稅人		中高級
tea	noun	茶		初級		1200	L1
teach	verb	教導		初級		1200	L1
teacher	noun	老師		初級		1200	L1
Teacher's Day	noun	教師節		初級
team	noun	小組		初級	L9	1200	L1
teammate	noun	隊友		中高級
teamwork	noun	聯合作業、協調合作		中高級
teapot	noun	茶壺		初級		800	L2
tear 	noun	眼淚		初級		800	L2
tear 	verb	撕破		初級		800	L2
tease	verb/noun	取笑、逗弄		中級			L3
teaspoon	noun	茶匙		中高級
technical	adj.	技術的、專門的		中級	L3		L3
technician	noun	技術人員		中級			L4
technique	noun	技巧、工藝		中級	L3		L3
technological	adj.	科技的		中級	L3		L4
technology	noun	科技		中級	L3		L2
tedious	adj.	冗長的、單調乏味的、囉嗦的		中高級			L6
teen	noun/adj.	青少年；十幾歲的		中級
teenage	adj.	十幾歲的		中級			L3
teenager	noun	青少年		初級		1200	L1
teens	noun	十幾歲、青少年們		中高級			L2
telecommunication	noun	電信、電訊		中高級
telephone	noun/verb	電話；打電話	= phone	初級		1200	L1
telescope	noun	望遠鏡		中級			L4
televise	verb	電視播送		中級
television	noun	電視	= TV	初級		1200	L1
tell	verb	告訴		初級		1200	L1
teller	noun	出納員、提款機、敘述者		中高級			L6
temper	noun	脾氣、怒氣		中級			L3
temper	verb	使緩和		中級			L3
temperament	noun	氣質、性情		中高級
temperature	noun	氣溫		初級		800	L2
tempest	noun	暴風雨、暴風雪		中高級
temple	noun	廟		初級		1200	L1
tempo	noun	節奏、速度		中高級			L6
temporary	adj.	暫時的		中級	L9		L3
tempt	verb	引誘、誘惑、勸誘		中高級			L5
temptation	noun	引誘、誘惑		中高級			L5
ten	number/pron./noun/adj.	十		初級		1200
tenant	noun	房客、租戶		中級			L6
tend	verb	傾向、往往會		中級			L3
tendency	noun	傾向、趨勢		中級			L4
tender	adj.	嫩的、溫柔的		中級			L3
tennis	noun	網球		初級		1200	L1
tense	adj./verb	繃緊的、緊張的；繃緊		中級	L8		L4
tension	noun	繃緊、緊張		中級			L4
tent	noun	帳篷		初級		800	L3
tentative	adj.	暫定的、不確定的、猶豫不定的		中高級			L6
term	noun	詞語、期間		初級		800	L2
term	verb	稱為		初級		800	L2
terminal	noun/adj.	終點、(航空或交通運輸的)終站；終點的、末期的		中級	L8		L5
terminate	verb	結束、終止		中高級	L8
termination	noun	結束、終止		中高級
terminology	noun	術語、專門用語		中高級
termite	noun	白蟻		中高級
terrace	noun	露天平台、階梯看台、梯田		中高級			L6
terrain	noun	地勢、地形		中高級
terrestrial	adj.	陸棲的、地球上的		中高級
terrible	adj.	糟糕的		初級		1200	L1
terrific	adj.	非常好的、可怕的		初級		800	L3
terrify	verb	使恐懼		中級			L5
territorial	adj./noun	陸地的、陸生的；陸地生物		中高級
territory	noun	領土		中級			L3
terror	noun	恐懼、恐怖		中級			L4
terrorism	noun	恐怖主義		中高級			L2
terrorist	noun	恐怖份子、恐怖主義者		中高級			L2
tertiary	adj.	第三的、第三級的		中高級
test	noun/verb	測驗；測試		初級		1200	L1
testament	noun	證據、證明		中高級
testify	verb	作證、成為證據		中高級			L5
testimony	noun	證據、口供		中高級
text	noun	正文、文本		中級	L2		L2
textbook	noun	教科書		初級		800	L2
textile	noun	紡織品		中高級			L6
textual	adj.	文本的		中高級
texture	noun	質地、口感		中高級			L5
than	conj./prep.	比		初級		1200	L1
thank	verb/noun	感謝；謝謝		初級		1200	L1
thankful	adj.	感謝的		中級			L3
Thanksgiving	noun	感恩節	= Thanksgiving Day	初級
that	conj.	引導子句		初級		1200	L1
that	pron./adj.	那個；那		初級		1200	L1
that	adv.	那麼、那樣		初級		1200	L1
the	art.	這、那		初級		1200	L1
theater	noun	電影院	= theatre (British English)	初級		1200	L1
theatrical	adj.	戲劇的、誇張的		中高級
theft	noun	偷竊		中級			L5
their	determiner	他們的		初級		1200	L1
theirs	pron.	他們的		中級
them	pron.	他們		初級		1200	L1
theme	noun	主題		中級	L8		L4
themselves	pron.	他們自己		初級		1200	L1
then	adv./adj.	然後、那時候；在那時的		初級		1200	L1
theoretical	adj.	理論上的		中高級	L1		L5
theory	noun	學說、理論、看法		中級	L1		L3
therapist	noun	治療師		中高級			L5
therapy	noun	療法		中級			L5
there	adv./noun	在那裡；那裡		初級		1200	L1
thereafter	adv.	此後、以後		中高級			L6
thereby	adv.	因此、從而		中高級	L8		L5
therefore	adv.	因此		初級		800	L2
thermal	adj./noun	熱量的、保暖的；上升暖氣流		中高級
thermometer	noun	溫度計、體溫計		中高級			L6
thermos	noun	保溫瓶		中高級
thesaurus	noun	同義詞詞典		中高級
these	pron./adj.	這些；這些的		初級		1200	L1
thesis	noun	學位論文		中高級	L7		L5
they	pron.	他們		初級		1200	L1
thick	adj.	厚的		初級		1200	L1
thicken	verb	變厚、變濃、變稠		中高級
thickness	noun	厚、厚度		中高級
thief	noun	竊賊		初級		800	L2
thigh	noun	大腿		中高級			L5
thin	adj.	瘦的		初級		1200	L1
thing	noun	東西、物品		初級		1200	L1
think	verb	想		初級		1200	L1
thinking	noun/adj.	思想、思考；有思考力的		中級
third	adj./adv./noun	第三的；居第三位；第三位		初級		1200	L1
thirst	noun/verb	口渴、渴望		中級			L3
thirsty	adj.	口渴的		初級		1200	L2
thirteen	number/pron./noun/adj.	十三		初級		1200
thirty	number/pron./noun/adj.	三十		初級		1200
this	pron./adj.	這個；這		初級		1200	L1
this	adv.	這麼、這樣		初級		1200	L1
thorn	noun	(植物)刺、荊棘		中高級
thorny	adj.	棘手的、引起爭議的、多刺的		中高級
thorough	adj.	徹底的		中級			L4
those	pron./adj.	那些；那些的		初級		1200	L1
though	conj./adv.	雖然；還是		初級		1200	L1
thought	noun	想法		初級		800	L2
thoughtful	adj.	體貼的、深思熟慮的		中級			L4
thousand	number/pron./noun/adj.	千		初級		1200	L1
thread	noun/verb	線、一絲；穿針線		中級			L3
threat	noun	威脅		中級			L3
threaten	verb	揚言要、威脅		中級			L3
three	number/pron./noun/adj.	三		初級		1200
threshold	noun	門檻、閾值		中高級			L5
thrift	noun	節約、節儉		中高級
thrifty	adj.	節約的、節儉的		中高級
thrill	noun/verb	興奮感；使非常激動		中高級			L5
thriller	noun	驚悚小說(電影)		中高級			L5
thrive	verb	繁榮、茁壯成長		中高級			L5
throat	noun	咽喉		初級		1200	L1
throb	verb/noun	抽動、抽痛、(強烈有節奏地)跳動；抽動、抽痛		中高級
throne	noun	寶座、王位		中高級			L5
throng	noun/verb	一大群人；群集、擁向		中高級
through	prep./adv.	通過、穿越		初級		1200	L1
throughout	prep.	到處		初級			L2
throw	verb	丟		初級		1200	L1
thrust	verb	猛推、刺、塞		中高級			L5
thrust	noun	猛推、驅動力；(論據)要點、目標		中高級			L5
thumb	noun	拇指		初級		800	L3
thunder	noun/verb	雷(聲)；打雷		初級		800	L2
thunderbolt	noun	雷電、晴天霹靂		中高級
thunderous	adj.	雷鳴般的、怒氣沖沖的		中高級
thunderstorm	noun	雷雨		中級
Thursday	noun	星期四	= Thurs./Thur.	初級		1200
thus	adv.	因此		初級			L2
tick	noun	滴答聲；勾號		中高級			L5
tick	verb	發出滴答聲；打勾		中高級			L5
ticket	noun	票、罰單		初級		1200	L1
tickle	verb	搔癢、發癢		中級			L4
tide	noun	潮汐、趨勢		中級			L3
tidy	adj./verb	整齊的；整理		初級		1200	L1
tie 	noun	領帶、平手		初級		1200	L1
tie 	verb	捆、繫		初級		1200	L1
tiger	noun	老虎		初級		1200	L1
tight	adj./adv.	緊的；緊地		中級			L3
tighten	verb	使變緊、加強		中級			L3
tile	noun/verb	磁磚、地磚、瓦片；鋪瓦、貼磁磚		中高級			L5
till	prep./conj.	直到	= until	初級		800	L2
tilt	verb/noun	傾斜、偏向		中高級			L6
timber	noun	樹木、木材		中級			L3
time	noun/verb	時間；計時		初級		1200	L1
timeless	adj.	無時間性的、永久的		中高級
timely	adj.	及時的、適時的		中高級
timeout	noun	(運動)暫停、(工作)休息時間		中高級
timer	noun	計時器		中高級
timetable	noun/verb	時間表；為…安排時間		中級			L4
timid	adj.	膽怯的		中級			L4
timing	noun	定時、時間的安排、時機的掌握、節奏		中高級
tin	noun	錫、罐		中級			L5
tinkle	verb	發出叮噹聲		中高級
tint	noun	淺色彩、(一層)淡色、染髮劑		中高級
tiny	adj.	極小的、微小的		初級		800	L2
