字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
alligator	noun	短吻鱷		中高級			L6
allocate	verb	分配、調撥		中高級	L6		L5
allow	verb	准許		初級		1200	L1
allowance	noun	零用錢；津貼、補助；限額、定量	零用錢 = pocket money	中級			L4
alloy	noun/verb	合金；把...鑄成合金		中高級
alloy	verb	把(價值)降低、損壞		中高級
ally	noun/verb	同盟、盟友；與...結盟		中高級			L5
almond	noun	杏仁		中高級			L3
almost	adv.	幾乎、差不多		初級		1200	L1
alone	adv./adj.	單獨(的)、獨自(的)、孤獨無伴(的)		初級		800	L2
along	prep.	沿著		初級		1200	L1
along	adv.	向前、一起、來到		初級		1200	L1
alongside	prep./adv.	在...旁邊、與...一起		中級			L5
aloud	adv.	大聲地		初級		800	L2
alphabet	noun	字母表		初級		800	L3
already	adv.	已經		初級		1200	L1
also	adv.	也、此外		初級		1200	L1
alter	verb	改變、更動、修改(衣服使其合身)		中高級	L5		L5
alternate	verb/adj.	輪流(的)、交替(的)		中高級			L5
alternative	noun	可供選擇的事物		中級	L3		L4
alternative	adj.	可替代的、可供選擇的；非傳統的、另類的		中級	L3		L4
although	conj.	雖然		初級			L1
altitude	noun	海拔高度		中級			L6
altogether	adv.	全部、總共、總之		初級		800	L2
aluminium	noun	鋁		中級
always	adv.	總是、一直		初級		1200	L1
am	verb	(主語為第一人稱單數)是		初級		1200	L1
amateur	adj./noun	業餘的、業餘愛好的；業餘愛好者、業餘運動員		中級			L4
amaze	verb	使驚奇		中級			L3
ambassador	noun	大使		中級			L3
ambiguity	noun	歧義、模稜兩可		中高級			L6
ambiguous	adj.	模稜兩可的、含混不清的		中高級	L8		L4
ambition	noun	野心		中級			L3
ambitious	adj.	有野心的、雄心勃勃的		中級			L4
ambulance	noun	救護車		初級		800	L3
ambush	verb/noun	埋伏、伏擊		中高級
amend	verb	修訂、修正(法律文件等)		中高級	L5		L5
amendment	noun	修正案、修訂		中高級
amends	noun	賠罪、賠償		中高級
America	noun	美國、美洲		初級		1200
American	adj./noun	美國的、美洲的；美國人		初級		1200
amiable	adj.	和藹可親的		中高級
amicable	adj.	友善的、友好的		中高級
amid	prep.	在…中		中級			L6
ammunition	noun	彈藥		中高級
amnesty	noun	赦免、赦免期		中高級
among	prep.	在...之中、在三者或以上之間		初級		800	L2
amount	noun	數量		初級		800	L2
ample	adj.	足夠的、豐富的		中高級			L5
amplify	verb	擴大、增強		中高級			L6
amuse	verb	逗樂、(使)娛樂		中級			L4
amusement	noun	愉悅、娛樂(活動)		中級			L4
analogy	noun	類比、比喻		中高級	L9		L6
analysis	noun	分析		中級			L4
analyst	noun	分析者、化驗員		中級			L5
analytical	adj.	分析的	= analytic	中高級			L6
analyze	verb	分析	= analyse (British English)	中級			L4
ancestor	noun	祖先		中級			L4
anchor	noun/verb	錨；拋錨、下錨		中高級			L6
anchor	noun/verb	主持人；主持(電視、廣播節目)		中高級			L6
ancient	adj.	古代的、古老的		初級		800	L2
and	conj.	和、又、加上、接連		初級		1200	L1
anecdote	noun	趣聞軼事		中高級
angel	noun	天使		初級		800	L3
anger	noun	憤怒、怒氣		初級		800	L2
angle	noun	角度、觀點		中級		1200	L2
angler	noun	垂釣者		中高級
angry	adj.	生氣的、憤怒的		初級		1200	L1
animal	noun	動物		初級		1200	L1
animate	adj./verb	有生命的、有活力的；使有生命、使有活力		中高級			L6
ankle	noun	腳踝		初級		800	L2
anniversary	noun	週年紀念日		中級			L4
announce	verb	宣布、公告、廣播		中級			L3
announcement	noun	宣布、公告		中級			L3
announcer	noun	廣播員		中級
annoy	verb	使惱怒、打擾		中級			L4
annoyance	noun	惱怒、煩惱、令人煩惱的事		中高級			L6
annual	adj./noun	每年的、一年一次的；年報、年刊		中級	L4		L4
anonymous	adj.	匿名的、不具名的		中高級			L5
another	pron./adj.	另一個、再一個；另外的、再一		初級		1200	L1
answer	noun/verb	答案、回答；答覆、作答		初級		1200	L1
ant	noun	螞蟻		初級		1200	L1
Antarctic	adj./noun	南極的、南極地區的；南極、南極地區	= antarctic	中高級
antenna	noun	觸角、觸鬚；天線		中高級
anthem	noun	國歌、(群體的)團歌		中高級			L6
antibiotic	noun/adj.	抗生素；抗菌的		中高級			L6
antibody	noun	抗體		中高級
anticipate	verb	預料、預見、期盼		中高級	L9		L5
anticipation	noun	預料、預見、期盼		中高級			L6
antique	noun/adj.	古董、古物；古老的、古董的		中高級			L5
antonym	noun	反義詞		中高級			L6
anxiety	noun	焦慮、憂慮		中級			L4
anxious	adj.	焦慮的、不安的；渴望做某事		中級			L3
any	pron./adj.	任何一個、一些；任何的、絲毫的		初級		1200	L1
any	adv.	(用於否定或疑問句)稍、根本		初級		1200	L1
anybody	pron.	任何人	= anyone	初級		1200	L1
anyhow	adv.	無論如何		中級			L3
anymore	adv.	再也不、不再	=any more	初級
anyone	pron.	任何人	= anybody	初級		1200	L1
anything	pron.	任何東西、任何事情		初級		1200	L1
anytime	adv.	在任何時候	=any time	初級			L2
anyway	adv.	無論如何、不管怎樣、反正		初級			L2
anywhere	adv.	任何地方	= anyplace	初級		800	L2
apart	adv./adj.	(空間或時間的)分隔、相隔；分離的		中級			L3
apartheid	noun	(南非)種族隔離		中高級
apartment	noun	公寓	= flat (British English)	初級		1200	L1
ape	noun	人猿		中級			L2
ape	verb	模仿、學...的樣子		中級
apologize	verb	道歉	= apoligise (British English)	初級		800	L3
apology	noun	道歉		中級			L4
app	noun	應用程式		中級
appall	verb	使驚駭、使大為震驚	= appal (British English)	中高級
appalling	adj.	令人震驚的、糟糕的		中高級
apparatus	noun	儀器、設備；(政府的)組織、機構		中高級
apparent	adj.	顯然的		中級	L4		L4
appeal	noun	呼籲；申訴；吸引力		中級			L3
appeal	verb	呼籲；提出申訴；對...有吸引力		中級			L3
appear	verb	出現、顯現		初級		1200	L1
appear	verb	看來好像、似乎	=seem	初級		1200	L1
appearance	noun	出現、公開露面；外貌、外表		初級			L2
appendix	noun	(書或文件的)附錄；闌尾		中高級
appetite	noun	食慾、胃口		中級			L2
applaud	verb	鼓掌、稱讚		中級			L6
applause	noun	鼓掌、喝采		中級			L5
apple	noun	蘋果		初級		1200	L1
appliance	noun	家電、器具		中級			L5
applicable	adj.	適用的		中高級			L6
applicant	noun	申請人		中級			L4
application	noun	申請、申請書；用途、應用；應用軟體		中級			L4
apply	verb	申請、請求；應用；適用；塗、敷		初級			L2
appoint	verb	任命、安排		中級			L4
appointment	noun	約會、預約；任命；職務		中級			L4
appraisal	noun	評價、評估		中高級
appreciable	adj.	可觀的		中高級	L8
appreciate	verb	欣賞、賞識；感激、感謝		初級	L8	800	L2
appreciation	noun	欣賞；感激、感謝		中級			L4
apprehension	noun	憂慮、恐懼		中高級
apprentice	noun/verb	學徒；使當學徒		中高級			L6
approach	noun	方式、方法		中級	L1		L2
approach	verb	接近；接洽；著手處理		中級	L1		L2
appropriate	adj.	合適、恰當的		中級	L2		L4
approval	noun	贊成、批准		中級			L4
approve	verb	贊成、批准		中級			L3
approximate	adj./verb	大約的；接近		中高級	L4		L6
April	noun	四月	= Apr.	初級		1200
apron	noun	圍裙		中級			L3
apt	adj.	有…傾向的；恰當的、適當的；聰穎的		中高級			L5
aptitude	noun	天資、資質		中高級
aquarium	noun	魚缸、水族館		中級			L4
arbitrary	adj.	武斷的、專制的		中高級	L8
arc	noun/verb	弧形；作弧形運動		中高級
arch	noun/verb	拱門；使成弓形		中級			L4
archaeology	noun	考古學	= archeology	中高級			L6
architect	noun	建築師		中級			L5
architectural	adj.	建築學的、建築方面的		中高級
architecture	noun	建築學、建築設計		中級			L5
archive	noun/verb	檔案、檔案室；歸檔、存檔		中高級			L6
Arctic	adj./noun	北極的、北極地區的；北極、北極地區	= arctic	中高級
are	verb	(主詞為we、you、they的現在式)是		初級		1200
area	noun	地區、範圍、面積		初級	L1	1200	L1
arena	noun	圓形運動場、圓形劇場、活動場所		中高級			L5
argue	verb	爭吵、爭論		初級		800	L2
argument	noun	爭吵、論點		中級			L2
arise	verb	發生、由…引起		中級			L4
arithmetic	noun/adj.	算術；算術的		中級			L6
arm	noun	手臂、袖子、扶手		初級		1200	L1
arm	verb	武裝、備戰		初級			L1
armchair	noun	扶手椅		初級		800
armor	noun/verb	盔甲、裝甲；穿盔甲、提供防禦	= armour (British English)	中高級
arms	noun	武器、兵器		中高級			L4
army	noun	軍隊、陸軍；大批、大群		初級		800	L2
around	prep./adv.	圍繞、在...附近、大約		初級		1200	L1
arouse	verb	激起		中級			L5
arrange	verb	安排、籌劃；排列、佈置		初級		800	L2
arrangement	noun	安排、籌備		中級			L2
array	noun	大量、一批		中高級			L5
array	verb	配置、布置、排列		中高級			L5
arrest	verb/noun	逮捕		初級			L3
arrival	noun	抵達		中級			L2
arrive	verb	到達、來臨		初級		1200	L1
arrogant	adj.	傲慢的、自大的		中高級			L5
arrow	noun	弓箭、箭號		中級			L2
art	noun	藝術、美術		初級		1200	L1
artery	noun	動脈、(道路)主幹線		中高級
article	noun	文章、報導；物品、物件、(語法)冠詞		初級			L2
articulate	adj./verb	口齒清楚的、善於表達的；清楚說明、口齒清楚		中高級			L5
artifact	noun	手工藝品	=artefact	中高級
artificial	adj.	人工的、人造的		中級			L4
artillery	noun	火炮		中高級
artist	noun	藝術家、畫家		初級		800	L2
artistic	adj.	藝術的、有藝術天賦的		中級			L4
as	conj.	因為、當...時、以...的方式		初級		1200	L1
as	prep.	作為、以...的身分		初級		1200	L1
as	adv.	像...一樣、和...一樣		初級		1200	L1
ascend	verb	上升、登高		中級			L6
ascertain	verb	查明、弄清		中高級
ascribe	verb	把...歸因於、認為...具有		中高級
ash	noun	灰燼		中級			L3
ashamed	adj.	感到羞愧的		中級			L4
Asia	noun	亞洲		初級
Asian	adj./noun	亞洲的、亞洲人的；亞洲人		初級
aside	adv.	在旁邊		中級			L3
ask	verb	詢問、請求		初級		1200	L1
asleep	adj.	睡著的		初級		800	L2
aspect	noun	方面、層面		中級	L2		L4
aspiration	noun	抱負、渴望		中高級
aspirin	noun	阿斯匹靈		中級			L4
ass	noun	傻瓜、笨蛋；屁股		中高級			L5
assassinate	verb	暗殺		中級			L6
assault	noun/verb	攻擊、襲擊		中高級			L5
assemble	verb	集合、聚集；組裝		中級	L10		L4
assembly	noun	集會、議會；裝配		中級			L4
assert	verb	堅稱、維護(權利)		中高級			L5
assess	verb	評價、估算		中高級	L1		L5
assessment	noun	評價、評定		中高級			L5
asset	noun	資產		中級			L5
assign	verb	指派、分配		中級	L6		L4
assignment	noun	(學業或工作上的)任務、分派(任務)		中高級			L4
assimilate	verb	消化吸收、理解、融入		中高級
assist	verb	協助、援助		中級	L2		L3
assistance	noun	幫忙、援助		中級	L2		L4
assistant	noun/adj.	助手、助理；(常用於頭銜)助理的、副的		初級		800	L3
associate	verb	聯想、聯繫		中級			L4
associate	noun	同事、合夥人		中級			L4
associate	adj.	副的、非正式的		中級			L4
association	noun	協會、社團、聯盟；關聯、聯想		中級			L4
assume	verb	假定為、假設		初級	L1	800	L3
assumption	noun	假設		中高級			L5
assurance	noun	保證、擔保；自信		中級	L9		L4
assure	verb	向...保證、確保		中級	L9		L4
assured	adj.	自信的、確定的		中高級
asthma	noun	氣喘		中高級			L6
astonish	verb	使吃驚		中級			L5
astray	adv./adj.	迷路地、誤入歧途地；迷路的、誤入歧途的		中高級			L6
astronaut	noun	太空人		中級			L6
astronomer	noun	天文學家		中高級			L6
astronomy	noun	天文學		中高級			L6
asylum	noun	庇護、避難		中高級
at	prep.	在...時刻、在...地點或位置、對著		初級		1200	L1
athlete	noun	運動員、擅長運動的人		中級			L3
athletic	adj.	健壯的、擅長運動的、田徑運動的		中級			L4
athletics	noun	體育運動、田徑運動		中高級			L5
ATM	noun	自動提款機	= automatic teller machine	中高級
atmosphere	noun	大氣、大氣層、空氣；氣氛、氛圍		中級			L4
atom	noun	原子		中級			L4
atomic	adj.	原子的、原子能的		中級			L4
atrocity	noun	凶惡、殘暴行為		中高級
attach	verb	裝上、使依附		中級	L6		L4
attached	adj.	依戀的、附屬的		中高級	L6
attack	noun/verb	攻擊、進攻、抨擊		初級		1200	L1
attain	verb	獲得、達到		中高級	L9		L6
attempt	noun/verb	嘗試、企圖		中級			L2
attempted	adj.	(犯罪)未遂的		中高級
attend	verb	出席、參加		初級			L2
attendance	noun	參加、出席、出席人數		中高級			L5
attendant	noun	服務員、侍者		中高級			L6
attendant	adj.	伴隨的、隨之而來的		中高級
attention	noun	注意力、關注		初級		800	L2
attic	noun	閣樓		中高級			L5
attitude	noun	態度		中級	L4		L3
attorney	noun	律師		中高級			L5
attract	verb	吸引		中級			L3
attraction	noun	吸引力；迷戀、愛慕		中級			L4
attractive	adj.	誘人的、吸引人的		中級			L3
attribute	verb	歸因於		中高級	L4		L5
attribute	noun	屬性、特徵		中高級	L4		L5
auction	noun/verb	拍賣		中高級			L5
audience	noun	聽眾、觀眾		初級			L3
audio	adj.	聲音的、錄音的		中級			L4
audit	verb/noun	審計、稽核、查帳		中高級			L6
audit	verb	旁聽(大學課程)		中高級			L6
auditorium	noun	觀眾席；禮堂、劇院、音樂廳		中高級			L6
August	noun	八月	= Aug.	初級		1200
aunt	noun	姑姑、阿姨、舅媽	= auntie= aunty	初級		1200	L1
Australia	noun	澳洲		初級
authentic	adj.	真實的、真正的、真跡的、可信的		中高級			L4
author	noun	作者		中級	L6		L2
authoritative	adj.	具權威的、專斷的		中高級	L1
authority	noun	權力、職權；官方、當權者		中級	L1		L4
